method,kernel,0.1,1.0,5.0,10.0,16.0
meanflow_nfe1,3km,0.719357,0.540693,0.199797,0.029213,0.010535
meanflow_nfe1,15km,0.803910,0.651646,0.286021,0.040441,0.009867
meanflow_nfe1,27km,0.836980,0.701503,0.336656,0.051695,0.008198
meanflow_nfe1,45km,0.867135,0.749871,0.411470,0.071446,0.006575
meanflow_nfe2,3km,0.725145,0.524952,0.204021,0.035620,0.027850
meanflow_nfe2,15km,0.809678,0.627639,0.293946,0.036588,0.024184
meanflow_nfe2,27km,0.839936,0.671267,0.345838,0.034077,0.021016
meanflow_nfe2,45km,0.867677,0.713741,0.423415,0.033445,0.017115
