method,metric,0.1,1.0,5.0,10.0,16.0,32.0
diffusion,csi,0.431879,0.339295,0.149057,0.105283,0.030556,0.000000
diffusion,far,0.525755,0.551876,0.644742,0.602988,0.703911,nan
diffusion,hss,0.480262,0.449560,0.247822,0.187894,0.058844,0.000000
flowcast,csi,0.454033,0.289546,0.139495,0.072792,0.033243,0.000000
flowcast,far,0.376383,0.383939,0.401938,0.475435,0.523605,1.000000
flowcast,hss,0.538559,0.409568,0.238240,0.134203,0.064041,-0.000002
meanflow,csi,0.492071,0.307540,0.166045,0.120270,0.056139,0.000000
meanflow,far,0.373394,0.324271,0.554579,0.634745,0.757475,nan
meanflow,hss,0.576699,0.434266,0.274995,0.211606,0.105360,0.000000
