method,metric,0.1,1.0,5.0,10.0,16.0,32.0
diffusion,csi,0.384205,0.335325,0.139526,0.058796,0.016221,0.000000
diffusion,far,0.554678,0.558851,0.823173,0.917294,0.966084,1.000000
diffusion,hss,0.420832,0.444161,0.222095,0.102979,0.029710,-0.000004
flowcast,csi,0.336777,0.340797,0.123767,0.061504,0.019798,0.000000
flowcast,far,0.649583,0.573894,0.822769,0.913092,0.963875,nan
flowcast,hss,0.322715,0.447902,0.199218,0.107900,0.036316,0.000000
