metric,0.1,1.0,5.0,10.0,16.0,32.0
csi,0.594644,0.582280,0.278320,0.122807,0.234375,0.000000
far,0.345354,0.232215,0.356801,0.416667,0.062500,nan
hss,0.692951,0.718508,0.430463,0.218268,0.379675,0.000000
