method,Time/Seq.(s),CRPS↓,CSI-M↑,CSI-P16↑,FSS-P16-M↑,HSS-M↑,FAR-M↓,RMSE_u10↓,RMSE_v10↓,RMSE_t2m↓,RMSE_qpepre↓
diffusion,20.112,0.7549,0.1123,0.0000,-0.0000,0.1343,0.8166,1.6837,2.0852,1.2871,1.2786
flowcast,6.373,0.8121,0.1159,0.0000,0.0000,0.1484,0.6810,1.7856,2.1715,1.2501,1.1894
meanflow_nfe1,1.774,0.8333,0.1101,0.0000,0.0000,0.1400,0.7011,1.6946,2.0640,1.1135,1.2218
meanflow_nfe2,2.283,0.7475,0.1110,0.0000,0.0000,0.1371,0.7370,1.6157,1.9212,1.0087,1.2380
